,Epoch,train Accuracy,train Loss,val Accuracy,val Loss
0,1,0.45183558205208657,1.2362204214454557,0.547080979284369,1.1369070279396187
1,2,0.5635393787260746,1.0799724751219018,0.6045197740112994,0.9597402831255379
2,3,0.6062127392532162,0.9865076369090181,0.667608286252354,0.8822677597936713
3,4,0.6589268904926262,0.8945581002560087,0.6186440677966102,0.9568881193796793
4,5,0.699403828051459,0.7927985372384738,0.7156308851224105,0.7519619033835029
5,6,0.7285848760589896,0.7231014463121255,0.7306967984934086,0.7014007756939042
6,7,0.7540006275494194,0.6672138985249927,0.7410546139359698,0.6853923285748326
7,8,0.7731408848446815,0.6205098959656767,0.756120527306968,0.6587014642812438
8,9,0.7800439284593661,0.60959137813926,0.763653483992467,0.661386314309474
9,10,0.7998117351741449,0.5459496074236034,0.7655367231638418,0.6547644154051154
10,11,0.8092249764668967,0.5390300375935723,0.7815442561205272,0.6143206467960738
11,12,0.8151866959523062,0.49915109162873744,0.7589453860640301,0.7569078815971166
12,13,0.823031063696266,0.4981115653591916,0.7693032015065913,0.666603014294037
13,14,0.845309068089112,0.43446180896771003,0.775894538606403,0.6566304727238226
14,15,0.845309068089112,0.4385364381055829,0.7740112994350282,0.6878371280240922
15,16,0.8729212425478505,0.36479516569110043,0.7871939736346516,0.6804821223525678
16,17,0.8889237527455286,0.32874415992082084,0.7928436911487758,0.6603450023072812
17,18,0.8911201757138374,0.3159843185664645,0.7824858757062146,0.6582541264270884
18,19,0.9030436146846563,0.2736749732367178,0.7843691148775894,0.7547847420931312
19,20,0.909946658299341,0.26488455771876235,0.788135593220339,0.6830969052126179
20,21,0.9118293065578914,0.26610295630227,0.7937853107344632,0.6907281288543888
21,22,0.9184185754628176,0.24007030867056522,0.8003766478342749,0.7173435575207748
22,23,0.9284593661750862,0.2213878814875612,0.7900188323917137,0.7548758151560404
23,24,0.9309695638531533,0.20649160869749206,0.8060263653483992,0.7175566065782881
24,25,0.9344210856604956,0.18944829498520832,0.8013182674199623,0.7479971206120852
