,Epoch,train Accuracy,train Loss,val Accuracy,val Loss
0,1,0.539064951,1.114828094,0.646892655,0.953280501
1,2,0.622529024,0.958002567,0.65913371,0.876620431
2,3,0.662692187,0.885764584,0.722222222,0.757205003
3,4,0.692814559,0.810362368,0.746704331,0.697196432
4,5,0.736743019,0.738270324,0.738229755,0.695628647
5,6,0.744587386,0.693526133,0.77306968,0.64914537
6,7,0.757138375,0.670047315,0.765536723,0.678620041
7,8,0.754941952,0.65171903,0.755178908,0.659608104
8,9,0.791653593,0.582586195,0.759887006,0.635828222
9,10,0.795418889,0.569810665,0.77306968,0.633536045
10,11,0.791967367,0.577237276,0.748587571,0.70864269
11,12,0.802008158,0.550874502,0.775894539,0.611788585
12,13,0.795732664,0.558958875,0.777777778,0.62486197
13,14,0.82146219,0.504656868,0.780602637,0.635416554
14,15,0.81675557,0.482014995,0.790018832,0.664231404
15,16,0.823031064,0.476281943,0.757062147,0.642081386
16,17,0.83809225,0.465896737,0.758003766,0.646024836
17,18,0.855036084,0.425260217,0.770244821,0.80996724
18,19,0.858173831,0.396172457,0.790960452,0.653567054
19,20,0.881079385,0.355916422,0.802259887,0.638594278
20,21,0.882962033,0.331286011,0.798493409,0.669381134
21,22,0.883589583,0.341255144,0.787193974,0.686868183
22,23,0.903671164,0.277722582,0.800376648,0.726550063
23,24,0.898650769,0.293834294,0.788135593,0.801418829
24,25,0.913711955,0.270111524,0.763653484,0.899836994
25,26,0.87009727,0.373898062,0.788135593,0.691918655
26,27,0.668967681,0.83214437,0.666666667,0.855017539
27,28,0.641355507,0.893325026,0.66007533,0.863808714
28,29,0.657671792,0.854789682,0.665725047,0.834614099
29,30,0.654534045,0.874301939,0.661958569,0.841724835
30,31,0.647003452,0.871311784,0.632768362,0.900795622
31,32,0.664261061,0.862837102,0.677024482,0.854088166
32,33,0.651710072,0.857305556,0.65913371,0.848993603
33,34,0.668026357,0.851753257,0.662900188,0.837998522
34,35,0.663947286,0.846086643,0.667608286,0.835852021
35,36,0.661123313,0.851655968,0.68079096,0.821826815
36,37,0.651082523,0.87034143,0.68079096,0.812299378
37,38,0.657044242,0.846579256,0.695856874,0.812466595
38,39,0.649199874,0.865148387,0.686440678,0.810318105
39,40,0.655475369,0.861120894,0.683615819,0.818019814
40,41,0.660495764,0.847302616,0.68079096,0.824178103
41,42,0.65892689,0.843612088,0.689265537,0.801894672
42,43,0.663633511,0.862183011,0.690207156,0.808321471
43,44,0.658299341,0.85833615,0.68173258,0.825490509
44,45,0.678067148,0.840498239,0.677024482,0.824216384
45,46,0.647317226,0.874580764,0.689265537,0.810657294
46,47,0.66488861,0.845376371,0.68079096,0.806383692
47,48,0.666771258,0.835541743,0.668549906,0.818587156
48,49,0.65955444,0.854838635,0.661016949,0.854536792
49,50,0.664261061,0.838412429,0.68173258,0.804281708
50,51,0.6488861,0.857199708,0.689265537,0.805412361
51,52,0.662378412,0.837321906,0.6826742,0.796963343
52,53,0.65892689,0.864205276,0.68173258,0.810003882
53,54,0.657671792,0.849045019,0.687382298,0.805263287
