,Epoch,train Accuracy,train Loss,val Accuracy,val Loss
0,1,0.4254785064323815,1.2560906318949425,0.4943502824858757,1.1553012934108238
1,2,0.5425164731722623,1.1115881797472138,0.5819209039548022,1.0066534830801006
2,3,0.6005647944775651,0.989055413005866,0.67984934086629,0.861571139534988
3,4,0.6171948540947599,0.9463978244624693,0.660075329566855,0.8693954949100587
4,5,0.6322560401631628,0.9083492004052202,0.6694915254237288,0.8409075898639227
5,6,0.6407279573266395,0.8847333279978642,0.6732580037664783,0.8233549024650157
6,7,0.6388453090680891,0.8803678335423825,0.6789077212806026,0.8116013536794486
7,8,0.6539064951364919,0.8709529512236026,0.6789077212806026,0.8012796723460972
8,9,0.6633197364292438,0.8515839258031782,0.6845574387947269,0.7884038123258315
9,10,0.6576717916535927,0.8435051826462687,0.675141242937853,0.7860813311488839
10,11,0.6532789457169752,0.8485790205705043,0.6789077212806026,0.7809514824279957
11,12,0.6673988076561028,0.8237461077220619,0.687382297551789,0.7701269282684039
12,13,0.6799497960464386,0.8212876456038946,0.6883239171374764,0.7695425827399934
13,14,0.6582993410731095,0.8289278130341294,0.6807909604519774,0.7817538893604458
14,15,0.6724192030122371,0.8222973078143309,0.6958568738229755,0.7615322550362338
15,16,0.6768120489488547,0.8194791093903497,0.6930320150659134,0.7543559285431483
16,17,0.6655161593975525,0.8043425371177824,0.6939736346516008,0.7565410878025206
17,18,0.6746156259805459,0.8044915673573413,0.6892655367231638,0.7561120219149832
18,19,0.6852839661123313,0.8074564709347694,0.687382297551789,0.7532576131730879
19,20,0.6692814559146533,0.8064454097825605,0.6967984934086628,0.746872943224431
20,21,0.6730467524317539,0.8063587917965858,0.6986817325800376,0.7524067762881349
21,22,0.6855977408220897,0.7912687374051551,0.7024482109227872,0.7503255091593539
22,23,0.6877941637903985,0.7927482214174489,0.6892655367231638,0.7529038314316456
23,24,0.6827737684342642,0.7884829579231543,0.692090395480226,0.7450512093114763
24,25,0.6931283338562911,0.7849358176227494,0.6986817325800376,0.7448464427739663
25,26,0.6827737684342642,0.7894503242138377,0.7005649717514124,0.7427192955591809
26,27,0.6815186695952306,0.7908188196271424,0.7005649717514124,0.7534090336657738
27,28,0.6915594603074992,0.7707545702682606,0.704331450094162,0.7419664222192854
28,29,0.6862252902416065,0.7641112163293537,0.7024482109227872,0.7360600365532769
29,30,0.7019140257295261,0.7638514593248275,0.7109227871939736,0.7400561299476696
30,31,0.7012864763100094,0.7729778855356408,0.6892655367231638,0.7467468700839974
31,32,0.6855977408220897,0.7868371738473338,0.7015065913370998,0.7368061587410907
32,33,0.6968936303733918,0.7792928984144993,0.6967984934086628,0.747506014595822
33,34,0.6962660809538751,0.7651917956112544,0.6967984934086628,0.7446073336340838
34,35,0.706620646375902,0.7635628968374386,0.7062146892655367,0.7367786772956058
35,36,0.7044242234075933,0.754891275574056,0.6977401129943502,0.7517511579725478
36,37,0.6997176027612174,0.7507140767361102,0.7005649717514124,0.7369775103085907
37,38,0.7031691245685597,0.7549488269912438,0.7005649717514124,0.7364667921192004
38,39,0.6855977408220897,0.7651717657574599,0.7137476459510358,0.7343125397202659
39,40,0.7022278004392846,0.7514630553488227,0.7015065913370998,0.7430099412770819
40,41,0.6925007844367743,0.7557954183745467,0.7062146892655367,0.7310969367090142
41,42,0.7050517728271101,0.7650808023740626,0.7024482109227872,0.7381757881681797
42,43,0.7069344210856604,0.730245747011135,0.7146892655367232,0.7245330181947984
43,44,0.7088170693442108,0.7369642491096757,0.704331450094162,0.7352039288666289
44,45,0.7009727016002509,0.7475187669998806,0.7099811676082862,0.7333558149032449
45,46,0.7106997176027612,0.7436416520943715,0.7024482109227872,0.7458482165794588
46,47,0.7072481957954189,0.7222641496625409,0.7184557438794726,0.7248404551360567
47,48,0.7041104486978349,0.7417029290128959,0.7137476459510358,0.7195117208692763
48,49,0.7091308440539692,0.7321313902020342,0.7128060263653484,0.7189119679330657
49,50,0.7072481957954189,0.7286154591704298,0.711864406779661,0.7277820774839872
50,51,0.7088170693442108,0.7202040524478238,0.7109227871939736,0.7219541117745379
51,52,0.720112958895513,0.7048087485127588,0.7109227871939736,0.7282182294770149
52,53,0.7075619705051772,0.7158312368138592,0.7184557438794726,0.7164726674893481
53,54,0.7116410417320364,0.7241705715525364,0.7146892655367232,0.7176464237062271
54,55,0.7188578600564794,0.7090968997417889,0.7212806026365348,0.7222976760900178
55,56,0.715406338249137,0.7266039402461703,0.7184557438794726,0.7247294634299988
56,57,0.7075619705051772,0.724365476309636,0.7184557438794726,0.72045986800544
57,58,0.7191716347662378,0.7108104235706264,0.7231638418079096,0.7101432491381514
